CardNumber,Department,postDate,transDate,Time,Merchant,DriverID,Units,UnitCost,fuelCost,nonFuelCost,GrossCost,netCost
0276 - 2,CMFAYETT,11/2/2021,10/31/2021,4:56:00 PM,SUNOCO,3329,3.311,$3.26 ,$10.79 ,$0.00 ,$10.79 ,$10.79 
0166 - 1,PAINDY,11/3/2021,10/31/2021,7:10:26 PM,THORNTON OIL,506697,10.773,$3.25 ,$35.00 ,$0.00 ,$35.00 ,$35.00 
0177 - 1,PAWILDER,11/2/2021,10/31/2021,12:34:00 PM,BP,506985,10.1,$3.25 ,$32.81 ,$0.00 ,$32.81 ,$32.81 
0066 - 1,PAWILDER,11/3/2021,10/31/2021,9:50:09 AM,UNBRANDED,502331,12.897,$2.87 ,$37.00 ,$0.00 ,$37.00 ,$37.00 
0040 - 2,CMATHENS,11/2/2021,10/31/2021,9:15:34 AM,CHVRNWF,3556,13.551,$4.10 ,$55.55 ,$0.00 ,$55.55 ,$55.55 
0017 - 1,BBGREEN,11/2/2021,10/31/2021,4:09:11 PM,CIRCLE K,305728,13.401,$3.12 ,$41.80 ,$0.00 ,$41.80 ,$41.80 
0291 - 1,BB,11/3/2021,10/31/2021,8:40:11 PM,CIRCLE K,309522,14.587,$3.42 ,$49.87 ,$0.00 ,$49.87 ,$49.87 
0312 - 1,CPOSENAT,11/2/2021,10/31/2021,8:58:03 PM,KUM & GO,162329,6.377,$2.98 ,$19.00 ,$0.00 ,$19.00 ,$19.00 
0272 - 1,MMEJACKS,11/2/2021,10/31/2021,2:50:00 PM,BP,145665,18.187,$3.30 ,$60.00 ,$0.00 ,$60.00 ,$60.00 
0268 - 1,MMEJACKS,11/2/2021,10/31/2021,11:33:21 AM,GATE,147034,11.27,$3.26 ,$36.73 ,$0.00 ,$36.73 ,$36.73 
0271 - 1,MMEJACKS,11/2/2021,10/31/2021,9:57:00 AM,EXXONMOB,149260,8.221,$3.28 ,$26.96 ,$0.00 ,$26.96 ,$26.96 
0237 - 2,CMGAINS,11/2/2021,10/30/2021,10:31:10 AM,CHVRNWF,4976,9.432,$3.00 ,$28.29 ,$0.00 ,$28.29 ,$28.29 
0306 - 1,CPOPARAG,11/2/2021,10/30/2021,8:56:00 AM,MURPHY USA,163379,10.819,$2.99 ,$32.34 ,$0.00 ,$32.34 ,$32.34 
0018 - 2,CMSAV,11/2/2021,10/30/2021,6:04:00 PM,ENMARK,203920,7.262,$3.65 ,$26.50 ,$0.00 ,$26.50 ,$26.50 
0293 - 1,PAWILDER,11/2/2021,10/30/2021,4:40:34 PM,MARATHON,504253,22.78,$2.95 ,$67.18 ,$0.00 ,$67.18 ,$67.18 
0283 - 1,RMCOLUMB,11/2/2021,10/30/2021,5:33:00 PM,SHELL,206682,21.91,$3.56 ,$78.00 ,$0.00 ,$78.00 ,$78.00 
0190 - 1,PAWILDER,11/3/2021,10/30/2021,3:12:52 PM,UNBRANDED,503946,20.887,$2.87 ,$59.92 ,$0.00 ,$59.92 ,$59.92 
0266 - 2,MMEJACKS,11/2/2021,10/30/2021,5:32:00 PM,RACETRAC,143795,11.34,$3.29 ,$37.30 ,$0.00 ,$37.30 ,$37.30 
0193 - 2,RMCHARL,11/2/2021,10/30/2021,2:51:46 PM,QUIKTRIP,203757,22.062,$3.16 ,$69.69 ,$0.00 ,$69.69 ,$69.69 
0271 - 1,MMEJACKS,11/2/2021,10/30/2021,5:10:00 PM,EXXONMOB,149260,3.551,$3.38 ,$12.00 ,$0.00 ,$12.00 ,$12.00 
0145 - 2,CMATL,11/2/2021,10/29/2021,12:05:51 PM,QUIKTRIP,1731,24.064,$3.58 ,$86.13 ,$0.00 ,$86.13 ,$86.13 
0247 - 1,CMATL,11/2/2021,10/29/2021,2:50:00 PM,BP,4059,13.852,$3.20 ,$44.31 ,$0.00 ,$44.31 ,$44.31 
0281 - 1,CMATL,11/2/2021,10/29/2021,10:32:28 AM,CIRCLE K,7679,14.568,$3.20 ,$46.60 ,$0.00 ,$46.60 ,$46.60 
0281 - 1,CMATL,11/2/2021,10/29/2021,8:38:00 PM,EXXONMOB,7679,17.772,$3.20 ,$56.85 ,$0.00 ,$56.85 ,$56.85 
0223 - 2,COOLPRES,11/2/2021,10/29/2021,5:12:42 PM,MARATHON,110467,6.331,$3.16 ,$20.00 ,$0.00 ,$20.00 ,$20.00 
0227 - 1,COOLPRES,11/2/2021,10/29/2021,1:28:54 PM,MARATHON,113859,20.976,$3.10 ,$65.00 ,$0.00 ,$65.00 ,$65.00 
0226 - 1,COOLHAZA,11/2/2021,10/29/2021,1:53:00 PM,SHELL,118847,15.82,$3.16 ,$50.00 ,$0.00 ,$50.00 ,$50.00 
0232 - 1,COOLLEXI,11/2/2021,10/29/2021,9:45:00 AM,UNBRANDED,118137,12.419,$3.10 ,$38.49 ,$0.00 ,$38.49 ,$38.49 
0276 - 2,CMFAYETT,11/2/2021,10/29/2021,7:33:00 AM,SHELL,3329,5.14,$3.20 ,$16.46 ,$0.00 ,$16.46 ,$16.46 
0276 - 2,CMFAYETT,11/2/2021,10/29/2021,6:20:00 PM,SHELL,3329,9,$3.20 ,$28.81 ,$0.00 ,$28.81 ,$28.81 
0268 - 1,MMEJACKS,11/8/2021,10/29/2021,12:30:00 PM,SHELL,147034,8.76,$3.30 ,$28.90 ,$0.00 ,$28.90 ,$28.90 
0270 - 1,MMEJACKS,11/2/2021,10/29/2021,1:20:22 PM,CIRCLE K,148657,20.473,$3.17 ,$64.88 ,$0.00 ,$64.88 ,$64.88 
